user_id,browsing_time,pages_viewed,cart_additions,purchase_count,total_spending,average_order_value,discount_usage_count,discount_ratio,return_count,days_since_last_purchase,session_count,user_type
U00600,89.84,31,1,1,107.35,103.54,1.0,0.272,0.0,48,9,normal
U00850,156.93,138,20,0,0.0,103.74,1.0,0.096,0.0,34,16,low_conversion
U00266,56.88,43,2,1,50.41,47.63,0.0,0.19,0.0,11,3,normal
U00996,392.27,235,6,6,915.45,144.23,,0.348,0.0,28,45,high_activity_anomaly
U00530,54.3,36,3,3,450.9,141.98,,0.158,0.0,23,8,normal
U00056,43.66,27,8,0,0.0,139.34,1.0,0.18,0.0,4,5,normal
U00121,83.06,23,2,2,256.64,112.45,1.0,0.236,0.0,29,8,normal
U00216,20.41,39,4,2,144.28,70.67,1.0,0.039,0.0,35,5,normal
U00026,51.14,28,3,3,206.88,71.81,2.0,0.302,,9,5,normal
U00073,81.32,33,3,2,281.4,142.03,5.0,0.172,0.0,39,5,normal
U00045,43.86,41,5,3,365.0,125.38,,0.201,0.0,52,4,normal
U00248,58.88,40,1,1,141.46,141.51,3.0,0.099,0.0,26,4,normal
U00722,63.21,80,10,8,1790.64,246.38,3.0,0.19,0.0,17,10,high_value
U00282,40.49,45,2,1,182.43,168.3,2.0,0.197,0.0,37,10,normal
U00894,70.38,67,10,3,598.18,181.25,10.0,0.75,0.0,37,8,promotion_abuse_like
U00915,85.85,56,15,9,1124.71,131.71,13.0,0.571,,41,11,promotion_abuse_like
U00811,168.19,99,15,1,89.86,94.18,1.0,0.085,0.0,47,14,low_conversion
U00245,59.42,36,4,0,0.0,146.11,0.0,0.141,0.0,42,5,normal
U00823,155.14,111,14,0,0.0,81.95,1.0,0.191,,24,14,low_conversion
U00322,58.7,40,4,1,176.02,182.23,1.0,0.119,,54,4,normal
U00644,66.73,35,3,2,249.33,106.91,0.0,0.186,0.0,1,8,normal
U00159,57.83,34,3,2,181.07,101.07,2.0,0.228,0.0,49,6,normal
U00978,262.29,259,8,0,0.0,105.82,2.0,0.273,0.0,74,45,high_activity_anomaly
U00430,59.48,37,3,0,0.0,122.65,2.0,0.072,0.0,19,6,normal
U00942,150.3,78,13,2,210.68,113.61,4.0,0.754,0.0,24,8,promotion_abuse_like
U00463,43.91,31,7,2,170.28,78.75,1.0,0.134,0.0,11,6,normal
U00310,54.49,46,3,1,126.02,141.5,1.0,0.266,0.0,12,5,normal
U00698,39.41,40,6,1,58.04,62.84,1.0,0.265,,50,5,normal
U00061,70.16,36,5,0,0.0,129.59,2.0,0.217,0.0,52,4,normal
U00885,47.99,72,6,0,0.0,35.8,8.0,0.15,0.0,4,14,promotion_abuse_like
U00596,5.27,33,4,4,671.61,168.44,0.0,0.172,0.0,9,5,normal
U00768,89.44,69,6,6,1396.64,262.55,2.0,0.183,0.0,18,16,high_value
U00650,57.7,34,2,0,0.0,124.36,2.0,0.21,0.0,13,5,normal
U00651,60.83,34,2,2,363.75,180.32,0.0,0.095,0.0,28,5,normal
U00866,133.87,133,17,0,0.0,110.6,,0.074,0.0,36,19,low_conversion
U00669,11.09,46,2,2,306.37,168.85,1.0,0.076,0.0,39,4,normal
U00299,75.21,43,2,2,191.88,117.93,1.0,0.175,0.0,18,4,normal
U00690,47.05,40,3,2,140.9,79.11,0.0,0.123,0.0,11,6,normal
U00315,40.78,38,3,2,293.69,144.19,1.0,0.084,0.0,49,5,normal
U00311,43.11,30,3,0,0.0,136.0,,0.207,0.0,2,5,normal
U00362,64.55,32,4,2,369.18,172.85,,0.201,0.0,17,7,normal
U00480,52.81,32,2,2,175.44,94.07,,0.042,0.0,18,4,normal
U00111,71.79,33,3,1,73.26,71.6,0.0,0.18,1.0,44,8,normal
U00990,326.9,272,11,2,320.84,158.63,3.0,0.282,0.0,33,35,high_activity_anomaly
U00487,55.66,30,5,2,304.58,121.25,,0.31,0.0,36,11,normal
U00364,48.84,38,4,0,0.0,157.05,1.0,0.196,0.0,2,7,normal
U00255,43.47,37,4,0,0.0,138.95,1.0,0.235,,40,7,normal
U00260,59.29,23,10,3,223.24,71.57,2.0,0.244,,41,4,normal
U00803,146.02,100,15,1,83.41,84.21,3.0,0.097,0.0,103,15,low_conversion
U00678,67.31,36,4,2,261.62,131.55,0.0,0.104,0.0,59,6,normal
U00495,51.82,27,8,0,0.0,216.38,0.0,0.17,0.0,55,8,normal
U00671,42.42,32,7,2,140.83,73.53,1.0,0.221,0.0,12,7,normal
U00378,73.4,41,6,2,161.42,84.35,0.0,0.122,1.0,5,9,normal
U00527,83.49,30,3,1,76.7,71.11,2.0,0.244,0.0,31,4,normal
U00846,148.33,109,19,0,0.0,84.73,1.0,0.281,0.0,64,14,low_conversion
U00138,31.41,42,2,2,214.29,103.27,2.0,0.249,0.0,43,6,normal
U00356,59.91,30,2,2,159.07,86.34,0.0,0.049,,56,6,normal
U00366,19.4,37,7,2,348.64,154.3,2.0,0.222,0.0,3,6,normal
U00943,86.77,73,12,0,0.0,173.6,7.0,0.439,0.0,12,8,promotion_abuse_like
U00750,92.25,62,10,10,3876.19,338.7,5.0,0.077,0.0,18,6,high_value
U00949,79.49,70,8,0,0.0,60.29,6.0,0.779,0.0,2,9,promotion_abuse_like
U00830,242.21,125,14,0,0.0,79.69,1.0,0.177,0.0,72,15,low_conversion
U00657,63.65,41,5,3,388.56,130.83,0.0,0.1,0.0,48,6,normal
U00200,55.58,40,5,3,286.64,98.59,,0.209,,35,7,normal
U00214,35.31,28,3,0,0.0,97.46,,0.29,0.0,29,5,normal
U00409,50.33,40,1,1,213.75,181.53,,0.111,0.0,2,4,normal
U00333,60.3,38,3,0,0.0,116.13,0.0,0.116,0.0,36,6,normal
U00209,0.14,23,3,1,120.03,117.46,1.0,0.162,0.0,21,7,normal
U00614,62.55,42,5,1,105.73,94.08,,0.189,,29,11,normal
U00079,76.83,34,2,1,118.25,126.04,1.0,0.263,0.0,56,2,normal
U00030,30.37,37,3,0,0.0,133.72,0.0,0.266,0.0,50,10,normal
U00536,29.91,39,4,1,88.32,91.76,0.0,0.262,0.0,49,4,normal
U00696,60.06,36,4,1,168.27,172.58,2.0,0.086,,6,7,normal
U00558,63.6,52,5,0,0.0,117.04,3.0,0.264,0.0,36,6,normal
U00837,122.75,123,18,1,157.97,150.19,,0.119,0.0,66,17,low_conversion
U00597,47.18,34,4,2,215.24,114.11,1.0,0.159,0.0,31,3,normal
U00166,43.91,38,3,2,267.06,127.02,1.0,0.102,0.0,18,2,normal
U00919,86.07,66,11,0,0.0,174.15,,0.511,,39,10,promotion_abuse_like
U00496,56.63,28,2,1,140.25,141.49,1.0,0.307,,42,3,normal
U00825,110.73,124,18,0,0.0,65.25,,0.264,1.0,43,13,low_conversion
U00066,31.68,28,3,0,0.0,93.64,0.0,0.164,0.0,1,6,normal
U00142,48.08,28,4,1,172.78,199.44,1.0,0.115,0.0,17,8,normal
U00926,102.81,65,11,5,410.63,90.79,5.0,0.761,0.0,19,11,promotion_abuse_like
U00828,241.02,132,19,1,95.18,93.12,,0.066,0.0,43,17,low_conversion
U00656,48.66,31,1,1,123.85,113.95,2.0,0.188,0.0,40,5,normal
U00332,37.11,44,6,0,0.0,91.14,3.0,0.321,0.0,42,8,normal
U00665,50.71,31,8,1,160.17,171.21,1.0,0.167,0.0,47,7,normal
U00250,71.35,32,3,0,0.0,152.03,,0.116,0.0,43,7,normal
U00908,86.01,72,1,1,120.32,108.91,13.0,0.855,0.0,10,9,promotion_abuse_like
U00709,81.24,62,10,9,1226.15,126.92,0.0,0.231,0.0,14,14,high_value
U00306,66.86,33,2,2,167.45,78.14,2.0,0.214,0.0,57,5,normal
U00735,83.41,52,10,10,2643.15,273.97,2.0,0.148,0.0,4,11,high_value
U00976,198.16,231,11,0,0.0,43.71,2.0,0.431,0.0,14,39,high_activity_anomaly
U00050,85.78,30,3,0,0.0,113.34,2.0,0.105,0.0,16,9,normal
U00897,119.63,71,8,0,0.0,145.85,11.0,0.546,0.0,26,13,promotion_abuse_like
U00003,52.05,41,5,0,0.0,129.37,1.0,0.037,0.0,53,8,normal
U00545,53.48,38,6,3,172.86,55.06,0.0,0.154,0.0,39,4,normal
U00351,22.42,30,2,2,244.96,150.1,1.0,0.176,0.0,27,4,normal
U00905,14.59,71,14,3,300.63,92.07,3.0,0.915,0.0,24,14,promotion_abuse_like
U00537,71.97,39,5,5,508.13,98.75,1.0,0.204,0.0,38,9,normal
U00345,32.96,27,2,1,101.95,101.36,0.0,0.033,0.0,42,7,normal
U00995,286.65,233,9,1,80.98,80.19,3.0,0.176,1.0,17,38,high_activity_anomaly
U00482,91.2,39,2,0,0.0,129.61,0.0,0.129,0.0,24,6,normal
U00576,74.89,42,0,0,0.0,75.63,1.0,0.237,0.0,44,4,normal
U00034,48.0,32,4,4,427.55,87.32,0.0,0.175,,49,5,normal
U00032,40.24,43,8,0,0.0,133.2,1.0,0.172,0.0,56,3,normal
U00232,42.81,33,2,1,54.45,61.01,1.0,0.204,,5,3,normal
U00964,372.99,254,13,1,75.87,89.92,2.0,0.128,0.0,50,49,high_activity_anomaly
U00193,35.64,32,3,0,0.0,122.65,,0.235,0.0,41,7,normal
U00334,71.61,34,4,2,251.2,145.71,,0.16,0.0,25,5,normal
U00004,44.54,28,2,1,114.25,113.36,0.0,0.097,0.0,6,6,normal
U00205,64.18,46,6,1,123.58,120.26,1.0,0.302,0.0,57,6,normal
U00515,41.17,30,3,2,225.28,105.37,1.0,0.186,0.0,54,7,normal
U00800,155.82,114,21,0,0.0,100.31,0.0,0.241,0.0,116,13,low_conversion
U00307,54.82,23,2,1,124.08,113.11,0.0,0.064,,30,6,normal
U00110,66.96,29,4,1,75.1,71.54,0.0,0.102,0.0,15,9,normal
U00431,70.23,38,7,3,255.94,87.93,0.0,0.132,0.0,1,2,normal
U00078,67.38,41,4,0,0.0,94.02,2.0,0.167,0.0,49,7,normal
U00085,54.86,30,5,0,0.0,84.15,0.0,0.377,0.0,14,4,normal
U00287,72.37,35,8,0,0.0,131.5,2.0,0.252,0.0,23,7,normal
U00083,73.28,29,4,0,0.0,81.45,4.0,0.319,0.0,26,8,normal
U00992,280.92,268,12,1,90.12,100.33,0.0,0.455,1.0,39,44,high_activity_anomaly
U00790,144.01,105,15,0,0.0,155.11,2.0,0.304,0.0,95,15,low_conversion
U00895,107.11,82,8,2,119.2,62.2,,0.546,2.0,44,8,promotion_abuse_like
U00399,45.78,38,3,3,276.54,96.12,0.0,0.145,0.0,41,9,normal
U00324,78.55,28,4,0,0.0,114.44,0.0,0.25,0.0,46,7,normal
U00520,57.72,37,5,4,451.05,110.67,1.0,0.224,0.0,12,5,normal
U00917,79.38,74,11,3,212.76,79.88,6.0,0.777,,23,6,promotion_abuse_like
U00923,113.97,84,7,3,406.9,132.48,,0.509,0.0,16,10,promotion_abuse_like
U00006,66.54,38,5,1,110.98,111.78,0.0,0.108,0.0,21,7,normal
U00732,55.79,70,19,9,1864.36,212.17,5.0,0.21,0.0,14,10,high_value
U00466,49.61,31,0,1,157.08,171.51,1.0,0.173,0.0,18,5,normal
U00098,56.66,47,1,0,0.0,144.93,0.0,0.281,0.0,54,8,normal
U00267,85.54,38,1,1,107.93,101.73,,0.2,0.0,55,7,normal
U00358,49.44,22,3,2,284.44,142.73,3.0,0.291,0.0,10,11,normal
U00869,120.09,143,21,1,103.72,98.59,1.0,0.209,0.0,74,16,low_conversion
U00799,167.79,124,9,1,62.42,66.78,1.0,0.236,1.0,60,15,low_conversion
U00381,46.58,28,2,0,0.0,121.24,0.0,0.261,0.0,18,9,normal
U00632,73.89,34,2,2,283.13,116.93,0.0,0.233,0.0,44,6,normal
U00382,43.67,49,3,1,110.34,113.06,1.0,0.226,0.0,7,7,normal
U00491,55.25,43,4,0,0.0,108.02,,0.192,0.0,40,6,normal
U00119,67.13,31,3,1,73.11,73.73,1.0,0.033,0.0,49,9,normal
U00901,65.39,79,12,10,1171.59,112.28,9.0,0.71,0.0,14,7,promotion_abuse_like
U00251,33.35,41,14,3,424.04,127.52,2.0,0.244,0.0,12,9,normal
U00524,63.73,34,3,3,283.13,99.05,1.0,0.217,,7,5,normal
U00010,44.49,41,6,0,0.0,140.89,0.0,0.129,0.0,21,5,normal
U00197,52.66,37,3,3,556.5,175.26,0.0,0.369,0.0,54,9,normal
U00604,69.88,29,7,0,0.0,116.63,1.0,0.074,0.0,11,5,normal
U00082,60.43,28,1,1,150.66,155.97,2.0,0.0,0.0,23,9,normal
U00784,159.8,127,19,1,118.59,126.28,2.0,0.092,0.0,63,16,low_conversion
U00588,75.97,36,7,0,0.0,119.55,0.0,0.217,0.0,44,10,normal
U00798,144.18,109,17,0,0.0,110.06,,0.185,0.0,31,15,low_conversion
U00240,41.46,30,5,2,337.94,160.22,2.0,0.168,,15,7,normal
U00291,53.35,27,4,0,0.0,142.19,0.0,0.041,0.0,45,4,normal
U00212,49.29,43,4,3,311.74,107.13,1.0,0.135,0.0,36,7,normal
U00718,125.67,65,11,11,4448.7,383.32,1.0,0.178,0.0,19,12,high_value
U00360,72.36,31,8,2,287.4,143.66,1.0,0.245,0.0,49,6,normal
U00450,60.99,33,6,1,69.73,72.53,0.0,0.247,0.0,47,6,normal
U00228,30.7,43,2,0,0.0,54.76,0.0,0.108,0.0,22,10,normal
U00951,385.64,250,9,0,0.0,149.38,4.0,0.181,0.0,14,42,high_activity_anomaly
U00947,76.4,80,8,0,0.0,63.97,10.0,0.208,0.0,2,12,promotion_abuse_like
U00797,249.95,111,15,0,0.0,64.76,1.0,0.253,0.0,80,10,low_conversion
U00502,66.0,34,4,0,0.0,134.24,1.0,0.355,0.0,11,7,normal
U00465,35.6,35,5,0,0.0,133.96,0.0,0.213,0.0,34,9,normal
U00363,51.47,27,4,0,0.0,139.92,2.0,0.115,0.0,29,8,normal
U00469,55.93,30,8,1,132.07,127.85,1.0,0.142,0.0,28,2,normal
U00936,78.26,52,4,4,265.81,68.9,7.0,0.554,0.0,38,3,promotion_abuse_like
U00429,48.67,43,4,1,64.24,80.67,0.0,0.281,,5,7,normal
U00008,36.77,37,7,4,829.94,195.26,2.0,0.345,0.0,38,6,normal
U00156,80.43,41,5,3,275.6,94.5,0.0,0.123,,48,7,normal
U00542,54.02,34,3,1,112.43,138.5,,0.169,,54,7,normal
U00441,71.86,28,7,0,0.0,149.29,3.0,0.27,0.0,35,7,normal
U00483,64.88,45,4,3,211.76,65.61,,0.162,0.0,43,9,normal
U00423,74.23,37,5,3,384.41,132.88,1.0,0.227,0.0,20,9,normal
U00779,93.5,76,11,6,2581.38,392.14,2.0,0.186,0.0,11,14,high_value
U00950,63.94,74,5,5,618.18,113.71,9.0,0.698,0.0,22,10,promotion_abuse_like
U00335,66.88,40,3,2,201.94,101.95,2.0,0.311,1.0,56,5,normal
U00577,59.99,33,4,0,0.0,93.49,1.0,0.257,0.0,6,5,normal
U00935,90.58,71,7,2,282.0,150.92,14.0,0.62,1.0,31,10,promotion_abuse_like
U00568,57.28,20,6,1,153.06,153.08,2.0,0.23,0.0,5,6,normal
U00595,38.98,43,3,1,126.18,124.46,3.0,0.203,0.0,22,4,normal
U00531,53.38,35,5,2,210.35,102.25,0.0,0.065,0.0,36,5,normal
U00582,72.48,39,4,1,123.7,123.25,2.0,0.161,0.0,17,6,normal
U00708,125.72,59,7,7,1620.38,277.06,1.0,0.039,0.0,5,8,high_value
U00449,65.82,35,5,0,0.0,140.17,1.0,0.152,,56,4,normal
U00454,45.61,27,5,3,348.72,116.59,0.0,0.284,0.0,2,5,normal
U00229,83.88,39,5,0,0.0,123.47,2.0,0.098,0.0,45,8,normal
U00353,35.33,29,3,3,296.66,91.42,0.0,0.215,0.0,42,4,normal
U00729,103.85,40,7,7,1360.93,213.4,3.0,0.223,0.0,9,9,high_value
U00213,28.61,29,1,1,117.77,124.89,3.0,0.039,0.0,38,9,normal
U00080,74.97,41,2,2,223.53,120.47,0.0,0.244,0.0,41,6,normal
U00149,42.55,37,4,0,0.0,120.51,0.0,0.213,0.0,39,4,normal
U00303,66.26,32,3,1,83.5,94.35,,0.012,0.0,2,6,normal
U00629,56.52,37,4,4,564.88,123.85,1.0,0.16,,37,7,normal
U00778,119.42,46,15,8,3165.08,354.92,2.0,0.104,,6,15,high_value
U00507,87.01,35,5,3,406.91,145.36,1.0,0.071,0.0,22,4,normal
U00343,34.79,40,5,2,308.71,128.84,2.0,0.141,0.0,52,6,normal
U00486,37.02,31,2,0,0.0,124.55,2.0,0.262,0.0,2,5,normal
U00712,84.74,54,8,8,1034.03,111.64,4.0,0.176,0.0,1,15,high_value
U00134,44.43,34,6,0,0.0,110.84,1.0,0.297,0.0,26,6,normal
U00704,93.98,53,11,0,0.0,383.84,,0.171,0.0,24,12,high_value
U00312,65.47,27,2,0,0.0,105.91,1.0,0.085,0.0,16,4,normal
U00723,140.73,53,7,7,1236.76,182.93,0.0,0.252,0.0,20,13,high_value
